Time	SWR_O0
19.10.2018 18:01:15	-3.732
19.10.2018 18:01:30	-3.732
19.10.2018 18:01:45	-3.732
19.10.2018 18:02:00	-3.732
19.10.2018 18:02:15	-3.594
19.10.2018 18:02:30	-3.526
19.10.2018 18:02:45	-3.526
19.10.2018 18:03:00	-3.526
19.10.2018 18:03:15	-3.526
19.10.2018 18:03:30	-3.526
19.10.2018 18:03:45	-3.526
19.10.2018 18:04:00	-3.526
19.10.2018 18:04:15	-3.526
19.10.2018 18:04:30	-3.526
19.10.2018 18:04:45	-3.456
19.10.2018 18:05:00	-3.497
19.10.2018 18:05:15	-3.469
19.10.2018 18:05:30	-3.526
19.10.2018 18:05:45	-3.526
19.10.2018 18:06:00	-3.526
19.10.2018 18:06:15	-3.511
19.10.2018 18:06:30	-3.526
19.10.2018 18:06:45	-3.526
19.10.2018 18:07:00	-3.622
19.10.2018 18:07:15	-3.719
19.10.2018 18:07:30	-3.732
19.10.2018 18:07:45	-3.677
19.10.2018 18:08:00	-3.526
19.10.2018 18:08:15	-3.526
19.10.2018 18:08:30	-3.526
19.10.2018 18:08:45	-3.526
19.10.2018 18:09:00	-3.539
19.10.2018 18:09:15	-3.526
19.10.2018 18:09:30	-3.539
19.10.2018 18:09:45	-3.526
19.10.2018 18:10:00	-3.581
19.10.2018 18:10:15	-3.732
19.10.2018 18:10:30	-3.732
19.10.2018 18:10:45	-3.732
19.10.2018 18:11:00	-3.608
19.10.2018 18:11:15	-3.526
19.10.2018 18:11:30	-3.526
19.10.2018 18:11:45	-3.526
19.10.2018 18:12:00	-3.526
19.10.2018 18:12:15	-3.498
19.10.2018 18:12:30	-3.318
19.10.2018 18:12:45	-3.290
19.10.2018 18:13:00	-3.318
19.10.2018 18:13:15	-3.318
19.10.2018 18:13:30	-3.304
19.10.2018 18:13:45	-3.193
19.10.2018 18:14:00	-3.111
19.10.2018 18:14:15	-3.111
19.10.2018 18:14:30	-3.290
19.10.2018 18:14:45	-3.318
19.10.2018 18:15:00	-3.221
19.10.2018 18:15:15	-3.111
19.10.2018 18:15:30	-3.111
19.10.2018 18:15:45	-3.111
19.10.2018 18:16:00	-3.111
19.10.2018 18:16:15	-3.111
19.10.2018 18:16:30	-3.111
19.10.2018 18:16:45	-3.138
19.10.2018 18:17:00	-3.111
19.10.2018 18:17:15	-3.111
19.10.2018 18:17:30	-3.152
19.10.2018 18:17:45	-3.111
19.10.2018 18:18:00	-3.111
19.10.2018 18:18:15	-3.111
19.10.2018 18:18:30	-3.111
19.10.2018 18:18:45	-3.111
19.10.2018 18:19:00	-3.111
