Time	SWR_F1
19.10.2018 17:35:15	-2.446
19.10.2018 17:35:30	-2.365
19.10.2018 17:35:45	-2.23
19.10.2018 17:36:00	-2.108
19.10.2018 17:36:15	-2.203
19.10.2018 17:36:30	-2.23
19.10.2018 17:36:45	-2.23
19.10.2018 17:37:00	-2.244
19.10.2018 17:37:15	-2.23
19.10.2018 17:37:30	-2.23
19.10.2018 17:37:45	-2.23
19.10.2018 17:38:00	-2.23
19.10.2018 17:38:15	-2.23
19.10.2018 17:38:30	-2.23
19.10.2018 17:38:45	-2.23
19.10.2018 17:39:00	-2.23
19.10.2018 17:39:15	-2.23
19.10.2018 17:39:30	-2.271
19.10.2018 17:39:45	-2.555
19.10.2018 17:40:00	-2.636
19.10.2018 17:40:15	-2.663
19.10.2018 17:40:30	-2.906
19.10.2018 17:40:45	-3.041
19.10.2018 17:41:00	-3.041
19.10.2018 17:41:15	-3.041
19.10.2018 17:41:30	-3.041
19.10.2018 17:41:45	-3.041
19.10.2018 17:42:00	-3.041
19.10.2018 17:42:15	-3.041
19.10.2018 17:42:30	-3.041
19.10.2018 17:42:45	-3.041
19.10.2018 17:43:00	-3.041
19.10.2018 17:43:15	-3.041
19.10.2018 17:43:30	-3.068
19.10.2018 17:43:45	-3.109
19.10.2018 17:44:00	-3.244
19.10.2018 17:44:15	-3.244
19.10.2018 17:44:30	-3.244
19.10.2018 17:44:45	-3.244
19.10.2018 17:45:00	-3.244
19.10.2018 17:45:15	-3.257
19.10.2018 17:45:30	-3.244
19.10.2018 17:45:45	-3.284
19.10.2018 17:46:00	-3.433
19.10.2018 17:46:15	-3.447
19.10.2018 17:46:30	-3.447
19.10.2018 17:46:45	-3.447
19.10.2018 17:47:00	-3.447
19.10.2018 17:47:15	-3.447
19.10.2018 17:47:30	-3.447
19.10.2018 17:47:45	-3.433
19.10.2018 17:48:00	-3.447
19.10.2018 17:48:15	-3.447
19.10.2018 17:48:30	-3.447
19.10.2018 17:48:45	-3.447
19.10.2018 17:49:00	-3.447
19.10.2018 17:49:15	-3.528
19.10.2018 17:49:30	-3.649
19.10.2018 17:49:45	-3.649
19.10.2018 17:50:00	-3.663
19.10.2018 17:50:15	-3.798
19.10.2018 17:50:30	-3.839
19.10.2018 17:50:45	-3.852
19.10.2018 17:51:00	-3.852
19.10.2018 17:51:15	-3.852
19.10.2018 17:51:30	-3.852
19.10.2018 17:51:45	-3.852
19.10.2018 17:52:00	-3.852
19.10.2018 17:52:15	-3.852
19.10.2018 17:52:30	-3.771
19.10.2018 17:52:45	-3.69
19.10.2018 17:53:00	-3.582
19.10.2018 17:53:15	-3.447
19.10.2018 17:53:30	-3.447
19.10.2018 17:53:45	-3.447
19.10.2018 17:54:00	-3.447
19.10.2018 17:54:15	-3.447
19.10.2018 17:54:30	-3.447
19.10.2018 17:54:45	-3.325
19.10.2018 17:55:00	-3.244
19.10.2018 17:55:15	-3.068
19.10.2018 17:55:30	-3.041
19.10.2018 17:55:45	-3.041
19.10.2018 17:56:00	-3.041
19.10.2018 17:56:15	-3.041
19.10.2018 17:56:30	-3.041
19.10.2018 17:56:45	-3.041
19.10.2018 17:57:00	-3.041
19.10.2018 17:57:15	-3.068
19.10.2018 17:57:30	-3.041
19.10.2018 17:57:45	-3.041
19.10.2018 17:58:00	-3.041
19.10.2018 17:58:15	-3.041
19.10.2018 17:58:30	-3.041
19.10.2018 17:58:45	-2.987
19.10.2018 17:59:00	-2.69
19.10.2018 17:59:15	-2.636
19.10.2018 17:59:30	-2.636
19.10.2018 17:59:45	-2.46
19.10.2018 18:00:00	-2.271
19.10.2018 18:00:15	-2.23
19.10.2018 18:00:30	-2.23
19.10.2018 18:00:45	-2.23
19.10.2018 18:01:00	-2.23
19.10.2018 18:01:15	-2.217
19.10.2018 18:01:30	-2.217
19.10.2018 18:01:45	-2.135
19.10.2018 18:02:00	-2.217
19.10.2018 18:02:15	-2.217
19.10.2018 18:02:30	-2.081
19.10.2018 18:02:45	-2.041
19.10.2018 18:03:00	-2.014
19.10.2018 18:03:15	-1.987
19.10.2018 18:03:30	-1.838
19.10.2018 18:03:45	-1.825
19.10.2018 18:04:00	-1.825
19.10.2018 18:04:15	-1.825
19.10.2018 18:04:30	-1.825
19.10.2018 18:04:45	-1.825
19.10.2018 18:05:00	-1.825
19.10.2018 18:05:15	-1.825
19.10.2018 18:05:30	-1.825
19.10.2018 18:05:45	-1.825
