Time	SWR_F5
19.10.2018 18:38:45	-2.093
19.10.2018 18:39:00	-2.093
19.10.2018 18:39:15	-1.918
19.10.2018 18:39:30	-1.918
19.10.2018 18:39:45	-1.918
19.10.2018 18:40:00	-1.918
19.10.2018 18:40:15	-1.918
19.10.2018 18:40:30	-1.918
19.10.2018 18:40:45	-1.744
19.10.2018 18:41:00	-1.744
19.10.2018 18:41:15	-1.744
19.10.2018 18:41:30	-1.744
19.10.2018 18:41:45	-1.744
19.10.2018 18:42:00	-1.744
19.10.2018 18:42:15	-1.744
19.10.2018 18:42:30	-1.744
19.10.2018 18:42:45	-1.744
19.10.2018 18:43:00	-1.744
19.10.2018 18:43:15	-1.57
19.10.2018 18:43:30	-1.57
19.10.2018 18:43:45	-1.57
19.10.2018 18:44:00	-1.57
19.10.2018 18:44:15	-1.395
19.10.2018 18:44:30	-1.395
19.10.2018 18:44:45	-1.395
19.10.2018 18:45:00	-1.395
19.10.2018 18:45:15	-1.395
19.10.2018 18:45:30	-1.57
19.10.2018 18:45:45	-1.57
19.10.2018 18:46:00	-1.57
19.10.2018 18:46:15	-1.57
19.10.2018 18:46:30	-1.395
19.10.2018 18:46:45	-1.57
19.10.2018 18:47:00	-1.57
19.10.2018 18:47:15	-1.57
19.10.2018 18:47:30	-1.57
19.10.2018 18:47:45	-1.57
19.10.2018 18:48:00	-1.57
19.10.2018 18:48:15	-1.395
19.10.2018 18:48:30	-1.57
19.10.2018 18:48:45	-1.57
19.10.2018 18:49:00	-1.57
19.10.2018 18:49:15	-1.57
19.10.2018 18:49:30	-1.744
19.10.2018 18:49:45	-1.744
19.10.2018 18:50:00	-1.744
19.10.2018 18:50:15	-1.744
19.10.2018 18:50:30	-1.918
19.10.2018 18:50:45	-1.918
19.10.2018 18:51:00	-2.093
19.10.2018 18:51:15	-2.093
19.10.2018 18:51:30	-2.093
19.10.2018 18:51:45	-2.093
19.10.2018 18:52:00	-2.093
19.10.2018 18:52:15	-2.093
19.10.2018 18:52:30	-2.093
19.10.2018 18:52:45	-2.093
19.10.2018 18:53:00	-1.918
19.10.2018 18:53:15	-1.918
19.10.2018 18:53:30	-1.918
19.10.2018 18:53:45	-1.918
19.10.2018 18:54:00	-1.918
19.10.2018 18:54:15	-1.918
19.10.2018 18:54:30	-1.918
19.10.2018 18:54:45	-1.918
19.10.2018 18:55:00	-1.918
19.10.2018 18:55:15	-1.918
19.10.2018 18:55:30	-1.918
19.10.2018 18:55:45	-1.918
19.10.2018 18:56:00	-1.744
19.10.2018 18:56:15	-1.744
19.10.2018 18:56:30	-1.744
19.10.2018 18:56:45	-1.744
19.10.2018 18:57:00	-1.57
19.10.2018 18:57:15	-1.57
19.10.2018 18:57:30	-1.57
19.10.2018 18:57:45	-1.57
19.10.2018 18:58:00	-1.57
19.10.2018 18:58:15	-1.57
19.10.2018 18:58:30	-1.744
19.10.2018 18:58:45	-1.744
19.10.2018 18:59:00	-1.744
19.10.2018 18:59:15	-1.918
19.10.2018 18:59:30	-1.918
19.10.2018 18:59:45	-1.918
19.10.2018 19:00:00	-1.918
19.10.2018 19:00:15	-1.744
19.10.2018 19:00:30	-1.744
19.10.2018 19:00:45	-2.093
19.10.2018 19:01:00	-2.093
19.10.2018 19:01:15	-2.093
19.10.2018 19:01:30	-2.093
19.10.2018 19:01:45	-2.093
19.10.2018 19:02:00	-2.093
19.10.2018 19:02:15	-2.093
19.10.2018 19:02:30	-2.093
19.10.2018 19:02:45	-2.093
19.10.2018 19:03:00	-2.093
19.10.2018 19:03:15	-2.093
19.10.2018 19:03:30	-1.918
19.10.2018 19:03:45	-1.918
19.10.2018 19:04:00	-1.918
19.10.2018 19:04:15	-1.918
19.10.2018 19:04:30	-1.918
19.10.2018 19:04:45	-1.918
19.10.2018 19:05:00	-1.918
19.10.2018 19:05:15	-1.918
19.10.2018 19:05:30	-1.744
19.10.2018 19:05:45	-1.744
19.10.2018 19:06:00	-1.744
19.10.2018 19:06:15	-1.744
19.10.2018 19:06:30	-1.744
19.10.2018 19:06:45	-1.744
19.10.2018 19:07:00	-1.744
19.10.2018 19:07:15	-1.744
19.10.2018 19:07:30	-1.744
19.10.2018 19:07:45	-1.744
19.10.2018 19:08:00	-1.744
19.10.2018 19:08:15	-1.744
19.10.2018 19:08:30	-1.744
