Time	SWR_F2
19.10.2018 17:44:30	-2.029
19.10.2018 17:44:45	-2.029
19.10.2018 17:45:15	-1.942
19.10.2018 17:45:30	-1.973
19.10.2018 17:45:45	-1.992
19.10.2018 17:46:00	-1.967
19.10.2018 17:46:15	-1.929
19.10.2018 17:46:30	-1.879
19.10.2018 17:46:45	-1.879
19.10.2018 17:47:00	-1.829
19.10.2018 17:47:15	-1.879
19.10.2018 17:47:30	-1.879
19.10.2018 17:47:45	-1.879
19.10.2018 17:48:00	-1.879
19.10.2018 17:48:15	-1.879
19.10.2018 17:48:30	-1.879
19.10.2018 17:48:45	-1.879
19.10.2018 17:49:00	-1.879
19.10.2018 17:49:15	-1.879
19.10.2018 17:49:30	-1.879
19.10.2018 17:49:45	-1.879
19.10.2018 17:50:00	-1.879
19.10.2018 17:50:15	-1.879
19.10.2018 17:50:30	-1.879
19.10.2018 17:50:45	-1.879
19.10.2018 17:51:00	-1.879
19.10.2018 17:51:15	-1.879
19.10.2018 17:51:30	-1.879
19.10.2018 17:51:45	-1.879
19.10.2018 17:52:00	-1.879
19.10.2018 17:52:15	-1.879
19.10.2018 17:52:30	-1.879
19.10.2018 17:52:45	-1.879
19.10.2018 17:53:00	-1.879
19.10.2018 17:53:15	-1.879
19.10.2018 17:53:30	-1.879
19.10.2018 17:53:45	-1.879
19.10.2018 17:54:00	-1.879
19.10.2018 17:54:15	-1.879
19.10.2018 17:54:30	-1.879
19.10.2018 17:54:45	-1.879
19.10.2018 17:55:00	-1.879
19.10.2018 17:55:15	-1.879
19.10.2018 17:55:30	-1.879
19.10.2018 17:55:45	-1.879
19.10.2018 17:56:00	-1.879
19.10.2018 17:56:15	-1.879
19.10.2018 17:56:30	-1.879
19.10.2018 17:56:45	-1.879
19.10.2018 17:57:00	-1.879
19.10.2018 17:57:15	-1.879
19.10.2018 17:57:30	-1.879
19.10.2018 17:57:45	-1.879
19.10.2018 17:58:00	-1.879
19.10.2018 17:58:15	-1.879
19.10.2018 17:58:30	-1.879
19.10.2018 17:58:45	-1.842
19.10.2018 17:59:00	-1.729
19.10.2018 17:59:15	-1.691
19.10.2018 17:59:30	-1.691
19.10.2018 17:59:45	-1.691
19.10.2018 18:00:00	-1.691
19.10.2018 18:00:15	-1.629
19.10.2018 18:00:30	-1.516
19.10.2018 18:00:45	-1.503
19.10.2018 18:01:00	-1.503
19.10.2018 18:01:15	-1.503
19.10.2018 18:01:30	-1.503
19.10.2018 18:01:45	-1.503
19.10.2018 18:02:00	-1.503
19.10.2018 18:02:15	-1.503
19.10.2018 18:02:30	-1.503
19.10.2018 18:02:45	-1.403
19.10.2018 18:03:00	-1.315
19.10.2018 18:03:15	-1.315
19.10.2018 18:03:30	-1.303
19.10.2018 18:03:45	-1.178
